0	7	shocked	schockiert						
1	17	bright	hell						
2	20	successful	erfolgreich						
3	23	successful	erfolgreich						
4	25	laugh	lachen						
5	27	married	verheiratet						
6	32	beach	Strand						
7	53	Alexander	Alexander						
8	58	invest	investieren						
9	76	become	werden	superpower	Supermacht				
10	80	protect	schützen						
11	91	arrive	ankommen						
12	94	old	alt						
13	111	flee	fliehen						
14	120	percent	Prozent						
15	121	certainly	sicher						
16	123	talk	sprechen						
17	125	seven	sieben						
18	128	Swabia	Schwaben						
19	140	September	September						
20	144	Thursday	Donnerstag						
21	146	silence	Schweigen	September	September				
22	148	leader	Leiter	Dr	Dr.				
23	153	Tuesday	Dienstag	declare	verkünden				
24	154	Putin	Putin						
25	156	warmth	Wärme						
26	157	Putin	Putin	five	fünf				
27	162	Putin	Putin						
28	165	Putin	Putin						
29	174	Putin	Putin						
30	188	Putin	Putin						
31	191	feel	fühlen						
32	193	peacemaker	Friedensstifter						
33	195	Putin	Putin						
34	196	consensus	Konsens						
35	203	protect	schützen						
36	208	Republic of Ireland	Republik Irland						
37	223	night	Nacht						
38	246	Putin	Putin						
39	247	Putin	Putin						
40	248	Putin	Putin						
41	250	Kremlin	Kreml	Putin	Putin				
42	254	Kremlin	Kreml						
43	255	Putin	Putin						
44	257	Putin	Putin						
45	262	Putin	Putin						
46	267	Putin	Putin	Kremlin	Kreml	conversation	Gespräch		
47	271	Putin	Putin						
48	272	Putin	Putin						
49	273	Putin	Putin	five	fünf				
50	274	become	werden						
51	276	Putin	Putin	later	später				
52	278	Los Angeles	Los Angeles						
53	280	Thursday	Donnerstag						
54	288	September	September						
55	298	concrete	Beton						
56	302	concrete	Beton						
57	303	size	Größe						
58	309	at the same time	gleichzeitig						
59	313	rescue	Rettung						
60	314	fishing boat	Fischerboot						
61	319	fishing boat	Fischerboot						
62	326	police	Polizei						
63	330	police	Polizei	perpetrator	Täter				
64	345	percent	Prozent						
65	348	percent	Prozent	percent	Prozent				
66	349	cost	kosten						
67	379	later	später						
68	380	somewhat	etwas						
69	384	GPS	GPS						
70	385	generation	Generation						
71	394	fun	Spaß						
72	403	Dr	Dr.						
73	413	Thursday	Donnerstag	rest	Rest				
74	415	Rio de Janeiro	Rio de Janeiro	Thursday	Donnerstag				
75	416	generation	Generation						
76	418	league	Liga						
77	420	test	Prüfung	rest	Rest				
78	422	embrace	umarmen	Rio de Janeiro	Rio de Janeiro	Thursday	Donnerstag		
79	423	Tuesday	am Dienstag						
80	435	comeback	Comeback						
81	438	Thursday	Donnerstag						
82	443	seven	sieben						
83	446	killer	Mörder						
84	447	later	später						
85	449	police	Polizei						
86	455	initial	erster						
87	463	crawl	krabbeln	talk	sprechen				
88	464	slowly	langsam						
89	470	measles	Masern						
90	492	flood	überschwemmen						
91	493	slow	langsam						
92	494	south	südlich						
93	505	observer	Beobachter	rain	Regen				
94	507	rescue	Rettung	five	fünf				
95	510	seven	sieben						
96	517	Thursday	Donnerstag						
97	526	critical	kritisch						
98	533	police	Polizei						
99	536	battle	Kampf						
100	538	police	Polizei						
101	540	police	Polizei						
102	541	Tuesday	Dienstag						
103	542	police	Polizei						
104	547	proud	stolz						
105	554	yet	doch						
106	555	Thursday	Donnerstag						
107	567	September	September						
108	568	determination	Bestimmtheit	mind	Geist				
109	573	begin	beginnen						
110	576	delay	Verzögerung						
111	578	last night	letzte Nacht						
112	580	silence	Schweigen						
113	590	deployment	Entsendung						
114	594	heart attack	Herzinfarkt						
115	597	heart attack	Herzinfarkt						
116	599	blood clot	Blutgerinnsel	heart attack	Herzinfarkt				
117	600	clot	Blutgerinnsel	block	verstopfen	flow	fließen		
118	604	heart attack	Herzinfarkt	heart attack	Herzinfarkt				
119	606	heart attack	Herzinfarkt						
120	610	mayor	Bürgermeister	last year	letztes Jahr				
121	612	police	Polizei						
122	613	bad	schlimm	police	Polizei	protect	schützen		
123	615	merely	lediglich						
124	619	protect	schützen	protect	schützen				
125	620	East	Osten						
126	621	mayor	Bürgermeister						
127	623	duty	Pflicht						
128	627	clean	säubern						
129	628	background	Hintergrund						
130	630	clean	säubern	stop	stoppen				
131	637	police	Polizei						
132	640	requirement	Anforderung	English	Englisch				
133	647	yet	doch						
134	658	long jumper	Weitspringer						
